@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.00162 , 0.2634 , 0.1246 , -5.4595 , -4.4523
0.00843 , 0.1690 , 0.1758 , -4.2789 , -4.4346
0.01168 , 0.0745 , 0.2270 , -3.0983 , -4.4169
0.01193 , -0.0200 , 0.2782 , -1.9178 , -4.3992
0.00815 , -0.1030 , 0.1464 , -0.7389 , -5.2638
0.00196 , -0.1889 , 0.0155 , 0.4970 , -6.1241
-0.00617 , -0.2751 , -0.1133 , 1.7188 , -6.9714
-0.0093 , -0.1926 , -0.1540 , 1.9886 , -7.0745
-0.01382 , -0.1104 , -0.1965 , 2.2523 , -7.1774
-0.01658 , -0.0299 , -0.2415 , 2.5066 , -7.2778
-0.01534 , 0.0776 , -0.1348 , 2.7746 , -7.3706
-0.01242 , 0.1795 , -0.0244 , 2.9903 , -7.4696
-0.00598 , 0.2789 , 0.0898 , 3.1894 , -7.5619
0.00207 , 0.1910 , 0.1366 , 3.3456 , -7.6574
0.00669 , 0.1048 , 0.1804 , 3.4560 , -7.7744
0.00753 , 0.0174 , 0.2239 , 3.5647 , -7.8823
0.00429 , -0.0745 , 0.0766 , 3.6487 , -8.0109
-0.00417 , -0.1662 , -0.0724 , 3.7281 , -8.1405
-0.00957 , -0.2582 , -0.2214 , 3.7849 , -8.2599
-0.01561 , -0.1939 , -0.2640 , 3.8258 , -8.3868
-0.01917 , -0.1282 , -0.3058 , 3.8318 , -8.4949
-0.01856 , -0.0574 , -0.3429 , 3.8124 , -8.6070
-0.01712 , 0.0659 , -0.1986 , 4.6714 , -8.4979
-0.01211 , 0.1929 , -0.0610 , 5.5381 , -8.4459
-0.00587 , 0.3184 , 0.0711 , 6.4369 , -8.4603
-0.00075 , 0.2353 , 0.1429 , 6.5333 , -8.6907
0.00151 , 0.1329 , 0.2219 , 6.6501 , -8.8964
0.00392 , 0.0248 , 0.3009 , 6.7828 , -9.0611
0.00235 , -0.0804 , 0.1567 , 6.1521 , -9.5215
-0.0027 , -0.1854 , 0.0107 , 5.5229 , -9.9929
-0.00953 , -0.2903 , -0.1362 , 4.8951 , -10.4482
-0.01474 , -0.2125 , -0.2009 , 4.7347 , -10.1929
-0.01919 , -0.1376 , -0.2651 , 4.5708 , -9.9216
-0.02133 , -0.0678 , -0.3233 , 4.4032 , -9.6596
-0.02003 , 0.0625 , -0.2015 , 4.2386 , -9.3956
-0.01643 , 0.1947 , -0.0729 , 4.0753 , -9.1347
-0.01068 , 0.3320 , 0.0594 , 3.9130 , -8.8716
-0.00224 , 0.2475 , 0.1128 , 3.7666 , -8.6213
0.00203 , 0.1595 , 0.1642 , 3.6194 , -8.3717
0.00342 , 0.0672 , 0.2149 , 3.4714 , -8.1227
-0.00053 , -0.0546 , 0.0679 , 3.3209 , -7.9043
-0.00607 , -0.1773 , -0.0808 , 3.1618 , -7.6841
-0.01263 , -0.2984 , -0.2287 , 2.9965 , -7.4813
-0.01934 , -0.2297 , -0.2704 , 2.8052 , -7.3025
-0.02114 , -0.1633 , -0.3125 , 2.6257 , -7.1284
-0.02142 , -0.0980 , -0.3574 , 2.4427 , -6.9511
-0.01749 , 0.0558 , -0.1946 , 2.6869 , -6.6694
-0.01218 , 0.2073 , -0.0265 , 2.9412 , -6.3707
-0.00503 , 0.3606 , 0.1450 , 3.1997 , -6.0693
0.00151 , 0.2820 , 0.2243 , 3.1589 , -5.8607
0.00727 , 0.2058 , 0.3024 , 3.1282 , -5.6320
0.00756 , 0.1312 , 0.3774 , 3.1136 , -5.3881
0.00355 , -0.0066 , 0.2185 , 2.5776 , -5.5067
-0.00228 , -0.1478 , 0.0592 , 2.0324 , -5.6515
-0.00912 , -0.2888 , -0.1016 , 1.4898 , -5.8052
-0.01429 , -0.2480 , -0.1847 , 1.3337 , -5.7196
-0.01869 , -0.2060 , -0.2660 , 1.1936 , -5.6474
-0.01786 , -0.1636 , -0.3460 , 1.0684 , -5.5933
-0.01684 , -0.0046 , -0.2007 , 0.9360 , -5.5342
-0.01218 , 0.1515 , -0.0523 , 0.8228 , -5.4786
