@relation whatever

@attribute obs_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.01325 , -0.0312 , 0.2436 , -2.4610 , 0.6787
0.01117 , -0.1450 , 0.1933 , -2.0703 , 0.3093
0.00719 , -0.1588 , 0.0606 , -2.4689 , 0.4921
0.00111 , -0.1721 , -0.0707 , -2.8762 , 0.6774
-0.00577 , -0.1848 , -0.2029 , -3.2978 , 0.8326
-0.01169 , -0.0891 , -0.1823 , -3.7126 , 0.9857
-0.01481 , 0.0051 , -0.1630 , -4.1272 , 1.1086
-0.01436 , 0.0978 , -0.1423 , -4.5361 , 1.2335
-0.01076 , 0.1327 , -0.0418 , -4.9265 , 1.3780
-0.00217 , 0.1675 , 0.0598 , -5.3314 , 1.4928
0.00375 , 0.2035 , 0.1587 , -5.7125 , 1.6609
0.00951 , 0.0998 , 0.1205 , -6.0960 , 1.8151
0.01293 , -0.0043 , 0.0842 , -6.4819 , 1.9663
0.0135 , -0.1081 , 0.0500 , -6.8566 , 2.1105
0.01223 , -0.1243 , -0.0625 , -7.2140 , 2.2431
0.01007 , -0.1400 , -0.1746 , -7.5541 , 2.3563
0.00433 , -0.1565 , -0.2856 , -7.9027 , 2.4711
0.00077 , -0.0668 , -0.2355 , -8.4684 , 1.2834
-0.00159 , 0.0202 , -0.1855 , -9.0877 , 0.0900
-0.00246 , 0.1052 , -0.1345 , -9.7428 , -1.1175
-0.00113 , 0.1413 , 0.0063 , -10.2766 , -0.8672
0.00138 , 0.1773 , 0.1463 , -10.7929 , -0.6162
0.00637 , 0.2135 , 0.2819 , -11.2464 , -0.3544
0.01158 , 0.1088 , 0.2731 , -11.0237 , -0.4813
0.01345 , 0.0044 , 0.2667 , -10.8021 , -0.6151
0.01383 , -0.1009 , 0.2649 , -10.5653 , -0.7630
0.01043 , -0.1532 , 0.1428 , -9.7895 , -1.2082
0.00404 , -0.1915 , 0.0187 , -9.0235 , -1.6558
-0.00057 , -0.2184 , -0.1119 , -8.2714 , -2.1029
-0.00577 , -0.1345 , -0.1456 , -7.5228 , -2.5532
-0.01082 , -0.0604 , -0.1820 , -6.8015 , -2.9829
-0.01381 , 0.0114 , -0.2163 , -6.0803 , -3.4072
-0.01388 , 0.0746 , -0.1339 , -5.3685 , -3.8216
-0.01207 , 0.1371 , -0.0504 , -4.6528 , -4.2281
-0.00826 , 0.2000 , 0.0329 , -3.9320 , -4.6270
-0.00471 , 0.1240 , 0.0342 , -3.2058 , -5.0224
-0.00024 , 0.0481 , 0.0330 , -2.4842 , -5.4261
-1E-05 , -0.0276 , 0.0303 , -1.7557 , -5.8231
-0.00157 , -0.0621 , -0.0850 , -1.0246 , -6.2188
-0.00452 , -0.0964 , -0.2008 , -0.2910 , -6.6133
-0.00877 , -0.1287 , -0.3183 , 0.4479 , -6.9936
-0.01302 , -0.0695 , -0.2999 , 0.9661 , -6.0133
-0.01557 , -0.0101 , -0.2706 , 1.4642 , -5.0569
-0.0153 , 0.0527 , -0.2246 , 1.9490 , -4.1331
-0.01417 , 0.1169 , -0.0816 , 2.7451 , -4.5855
-0.01122 , 0.1803 , 0.0593 , 3.5529 , -5.0192
