@relation whatever

@attribute obs_lon numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
-0.01204 , -0.013984 , 0.003495 , -0.0865 , -0.0274 , -7.6472 , 3.9546
-0.01168 , -0.013462 , 0.002764 , -0.0700 , -0.0584 , -7.7687 , 4.2361
-0.00904 , -0.01093 , 0.0038 , 0.0018 , 0.0020 , -7.8660 , 4.5704
-0.00517 , -0.008881 , 0.005924 , 0.0730 , 0.0596 , -7.9502 , 4.8593
-0.00244 , -0.006825 , 0.007904 , 0.1444 , 0.1140 , -8.0318 , 5.1151
-0.00126 , -0.005563 , 0.009896 , 0.1223 , 0.1673 , -8.1233 , 5.3994
-0.00231 , -0.007996 , 0.011945 , 0.0996 , 0.2223 , -8.2061 , 5.6435
-0.00568 , -0.0083 , 0.013943 , 0.0784 , 0.2792 , -8.3039 , 5.8712
-0.00813 , -0.011284 , 0.014037 , 0.0019 , 0.2308 , -8.3969 , 6.1246
-0.01156 , -0.013718 , 0.012884 , -0.0741 , 0.1880 , -8.4980 , 6.3494
-0.0146 , -0.016805 , 0.011899 , -0.1492 , 0.1483 , -8.5895 , 6.5750
-0.01689 , -0.01786 , 0.010324 , -0.1409 , 0.0759 , -8.6752 , 6.8245
-0.01787 , -0.016699 , 0.008173 , -0.1298 , 0.0031 , -8.7525 , 7.0702
-0.01891 , -0.016925 , 0.005941 , -0.1151 , -0.0715 , -8.8153 , 7.3362
-0.0173 , -0.013419 , 0.005308 , -0.0317 , -0.0572 , -8.8824 , 7.5747
-0.01263 , -0.011807 , 0.005821 , 0.0495 , -0.0491 , -8.9241 , 7.8685
-0.00945 , -0.008157 , 0.00631 , 0.1230 , -0.0410 , -8.9892 , 8.0637
-0.03856 , -0.025537 , 0.046732 , 0.1384 , 0.0425 , -8.9369 , 7.9523
