@relation whatever

@attribute obs_lat numeric
@attribute model_lon numeric
@attribute model_lat numeric
@attribute velocity_U numeric
@attribute velocity_V numeric
@attribute wind_U numeric
@attribute wind_V numeric


@data
0.01474 , -0.018611 , 0.013658 , -0.2119 , 0.2365 , -8.7951 , 5.8801
0.00858 , -0.020053 , 0.011354 , -0.2332 , 0.1071 , -8.3760 , 6.1301
0.00407 , -0.020351 , 0.007566 , -0.2587 , -0.0139 , -7.8670 , 6.3351
7E-05 , -0.020065 , 0.003787 , -0.2825 , -0.1387 , -7.2616 , 6.4789
-0.00337 , -0.016968 , 0.002372 , -0.1673 , -0.1058 , -7.1116 , 5.6981
-0.00548 , -0.01259 , 0.002328 , -0.0596 , -0.0838 , -6.9776 , 4.9524
-0.00507 , -0.009017 , 0.001977 , 0.0474 , -0.0716 , -6.8550 , 4.2038
-0.00167 , -0.004903 , 0.003469 , 0.1182 , 0.0410 , -6.8151 , 3.4330
0.00266 , -0.002804 , 0.006286 , 0.1860 , 0.1509 , -6.7691 , 2.6948
0.0069 , -0.000699 , 0.00906 , 0.2554 , 0.2585 , -6.7549 , 1.9345
0.0094 , -0.00218 , 0.009405 , 0.1461 , 0.2385 , -6.8067 , 1.1721
0.01011 , -0.006109 , 0.008053 , 0.0325 , 0.2201 , -6.8776 , 0.4278
0.00767 , -0.010821 , 0.006779 , -0.0838 , 0.2024 , -6.9128 , -0.3000
0.003 , -0.014639 , 0.003173 , -0.1606 , 0.0588 , -6.9513 , -1.0291
-0.00131 , -0.017017 , -0.002079 , -0.2362 , -0.0809 , -7.0016 , -1.7594
-0.00621 , -0.018577 , -0.007305 , -0.3106 , -0.2187 , -7.0242 , -2.4819
-0.01095 , -0.018056 , -0.010179 , -0.2083 , -0.2351 , -6.9515 , -3.2117
